QM Energy	FF Energy
    -0.000230328    -0.000475655
    -0.000375736      -0.0003648
      0.00116037     7.89376e-05
    -0.000282141    -0.000310449
      0.00198223      0.00173686
      1.3808e-05     2.16355e-05
    -0.000370409    -0.000414087
    -0.000304872     -0.00027089
    -0.000466936    -0.000493898
    -0.000411758    -0.000648605
      0.00164015      0.00137638
    -0.000485707    -0.000626537
    -0.000385279    -0.000437169
    -0.000304194    -0.000333318
    -0.000675436    -0.000669235
    -0.000556073    -0.000589641
      0.00157448      0.00111873
     0.000518743    -0.000335988
     0.000127007    -0.000374855
    -0.000233163    -0.000256035
    -0.000367288    -0.000446945
      0.00140345     5.96659e-05
    -0.000568329    -0.000584027
     -0.00066151    -0.000644921
    -0.000427428    -0.000618802
      0.00376403      0.00186636
      0.00311558      0.00254279
    -0.000440112    -0.000469723
      0.00125922     0.000384812
    -0.000421611    -0.000375333
    -0.000536892    -0.000510708
    -0.000559879    -0.000594609
    -0.000572579    -0.000586429
    -0.000627039    -0.000615422
      0.00135649      0.00120968
     -0.00047964    -0.000623328
     0.000377446     0.000187708
      0.00665317      0.00383599
     0.000622944    -0.000448103
     0.000959976     0.000794596
     -0.00043334    -0.000423499
    -0.000558152    -0.000569897
    -0.000525947    -0.000533999
     0.000103508       2.245e-05
    -0.000409669    -0.000445733
    -0.000536092    -0.000513532
    -0.000473271    -0.000583983
    -0.000286789    -0.000310458
       0.0071587      0.00425335
    -0.000297035     -0.00028365
    -0.000462656    -0.000572776
    -0.000466584    -0.000528251
    -0.000544705    -0.000565819
      0.00154917     0.000686215
    -0.000687505    -0.000677226
    -0.000375486    -0.000346363
    -0.000351612    -0.000357449
    -0.000430705    -0.000414063
    -0.000480217    -0.000602186
    -0.000568345    -0.000570222
     -8.2847e-05    -0.000161167
    -0.000406949    -0.000593938
      0.00892448      0.00584932
    -0.000550741    -0.000636668
      0.00451986      0.00277794
        0.011685      0.00854742
    -0.000250256    -0.000725898
      0.00354591      0.00194983
    -0.000213335    -0.000235136
    -0.000523469    -0.000560605
    -0.000397934    -0.000408436
      0.00488808      0.00412428
      0.00457956      0.00201907
      -0.0004001    -0.000361354
       0.0124846       0.0103724
    -0.000528644    -0.000561794
    -0.000487145    -0.000455237
    -0.000571028    -0.000561785
     0.000962714     0.000831158
    -0.000632267    -0.000633131
        0.010085      0.00605396
    -0.000537438    -0.000557552
      0.00114196     4.70591e-05
    -0.000327648    -0.000361818
    -0.000490252    -0.000643381
     0.000577863    -0.000155775
    -0.000529133    -0.000577955
    -0.000387826    -0.000436915
    -0.000543516    -0.000579012
    -0.000575158    -0.000580034
      0.00011119    -3.79555e-06
      0.00312009      0.00227077
    -0.000301979    -0.000612867
    -0.000588008    -0.000607727
    -0.000579177    -0.000610862
    -0.000326054    -0.000360555
    -0.000376028    -0.000743826
    -0.000373098    -0.000608546
    -0.000583723    -0.000585772
    -0.000317251    -0.000249218
      0.00546067       0.0024959
      0.00364957      0.00291164
     0.000488728     0.000395455
    -0.000630704    -0.000619488
    -0.000316148    -0.000310754
    -0.000376325    -0.000744448
     0.000334539     6.85848e-05
    -0.000306296     -0.00049022
    -0.000281366     -0.00030069
      0.00275233      0.00225375
       0.0104387      0.00636241
    -0.000483889      -0.0005716
    -0.000616499    -0.000613352
    -0.000370474    -0.000391814
    -0.000579898    -0.000617942
    -0.000502572    -0.000555024
        0.010206      0.00540087
      0.00237957      0.00134381
     0.000758803    -0.000189889
    -0.000236422    -0.000302071
    -0.000339892    -0.000368018
    -0.000387012    -0.000370728
       0.0025002      0.00225525
      0.00647294      0.00456094
    -0.000584504     -0.00059379
    -0.000645966    -0.000637585
       0.0110994       0.0103516
    -0.000528425    -0.000500106
    -0.000459877    -0.000586725
    -0.000275159    -0.000640356
    -0.000319511    -0.000357816
    -0.000495904    -0.000460758
    -0.000587202    -0.000616883
    -0.000316019    -0.000340299
     0.000688534     0.000119445
     0.000375147    -0.000499829
    -0.000391609    -0.000423591
       0.0128435      0.00942463
      0.00288523      0.00127428
      0.00654288      0.00512381
      0.00310972      0.00261544
    -0.000657317    -0.000653815
