RMS Errors for  isotropic_fit_exp_total_energy_unconstrained.dat
acetone acetone 1.13834473159 0.662392281262
acetone ar 0.493134512789 0.235461781029
acetone chloromethane 2.08215315773 0.918895601001
acetone co2 1.33301683703 0.68769332876
acetone dimethyl_ether 1.44720199315 0.624716066994
acetone ethane 1.17592149605 0.506033831116
acetone ethanol 1.44163381926 0.727308243531
acetone ethene 1.71098825045 0.921335227408
acetone h2o 1.8077840454 1.0460730183
acetone methane 0.822906523312 0.289173407819
acetone methanol 1.40119966451 0.755657221493
acetone methyl_amine 1.95221546328 1.08258953427
acetone nh3 1.77067167603 0.830797478293
ar ar 0.0411998006225 0.012542843904
ar chloromethane 1.2405000366 0.460903456836
ar co2 0.844601237339 0.358897570368
ar dimethyl_ether 0.895211748745 0.184645965139
ar ethane 0.594316152955 0.118022227331
ar ethanol 0.785485438131 0.256035108875
ar ethene 0.987791230973 0.353690395377
ar h2o 1.58996660028 0.204300924936
ar methane 0.461381269296 0.0968453511381
ar methanol 0.801565953725 0.279573078984
ar methyl_amine 1.05993345229 0.311101802325
ar nh3 2.28724436036 0.337496585702
chloromethane chloromethane 2.76255473234 1.06671915934
chloromethane co2 1.64815905031 0.534040224232
chloromethane dimethyl_ether 2.36993981062 1.05142247938
chloromethane ethane 1.83761773005 0.740297265272
chloromethane ethanol 2.33641443693 1.00407535172
chloromethane ethene 1.79149737526 0.62763329822
chloromethane h2o 2.07064430495 1.39655342854
chloromethane methane 1.74727989629 0.605972044509
chloromethane methanol 2.30387939158 1.02173544346
chloromethane methyl_amine 2.52320907843 0.924767882694
chloromethane nh3 2.1854259459 0.99473694591
co2 co2 1.74815679687 0.714583980221
co2 dimethyl_ether 1.22253949254 0.468561019179
co2 ethane 1.07741234987 0.520008961816
co2 ethanol 1.20749697642 0.545524855523
co2 ethene 2.55218169934 1.02697746974
co2 h2o 1.64712229831 0.899070158853
co2 methane 1.47399202074 0.524203742458
co2 methanol 1.48949143762 0.561348658985
co2 methyl_amine 1.72652852655 0.744539681567
co2 nh3 2.39133251657 0.537890503983
dimethyl_ether dimethyl_ether 1.75517337566 0.719555840808
dimethyl_ether ethane 1.3092816476 0.465126594799
dimethyl_ether ethanol 1.58037690991 0.725275910059
dimethyl_ether ethene 1.63341104809 0.846321286835
dimethyl_ether h2o 1.79165148441 1.04196255906
dimethyl_ether methane 1.32154475123 0.324381963471
dimethyl_ether methanol 1.72444067825 0.831804011196
dimethyl_ether methyl_amine 1.88625394863 0.736153677158
dimethyl_ether nh3 1.86636723189 0.705458201303
ethane ethane 1.13801314767 0.291830119256
ethane ethanol 1.29406407324 0.524712151904
ethane ethene 1.24502252326 0.56196344777
ethane h2o 1.36672018616 0.417336617313
ethane methane 0.869243645686 0.240418828726
ethane methanol 1.27418482937 0.489262224329
ethane methyl_amine 1.43767092328 0.545524074485
ethane nh3 1.75376445486 0.445331550791
ethanol ethanol 1.32109513469 0.707456902159
ethanol ethene 1.52881171623 0.924684138993
ethanol h2o 1.45787919834 0.963101619325
ethanol methane 1.06838816713 0.33035042541
ethanol methanol 1.50036204366 0.693771775183
ethanol methyl_amine 1.83592040209 0.791318393532
ethanol nh3 1.6956736743 0.631912036158
ethene ethene 3.21932143448 1.50956768539
ethene h2o 1.87637170539 0.984242181314
ethene methane 1.0967905766 0.494970175929
ethene methanol 1.47280014089 0.659728206543
ethene methyl_amine 2.08449660007 0.972216567133
ethene nh3 1.99774762949 0.628227235798
h2o h2o 2.1364345477 1.27566741427
h2o methane 1.52431450447 0.412067242898
h2o methanol 1.74567511557 1.06366400977
h2o methyl_amine 2.2310160909 1.11718814628
h2o nh3 2.1015413108 1.37011908348
methane methane 0.761127606546 0.206427750336
methane methanol 1.22499602615 0.428653462714
methane methyl_amine 1.73746047439 0.573131056687
methane nh3 1.59298618019 0.419681178763
methanol methanol 1.5345817083 0.823197410438
methanol methyl_amine 1.6607343892 0.879156794892
methanol nh3 1.65486323591 0.818674685958
methyl_amine methyl_amine 2.19935552266 1.04677956652
methyl_amine nh3 2.13753607819 0.883164441262
nh3 nh3 2.21427621541 0.64279808956

