RMS Errors for  anisotropic_fit_exp_total_energy_constrained.dat
acetone acetone 0.974444030587 0.486501591612
acetone ar 0.597675565238 0.214728547218
acetone chloromethane 1.17428575683 0.563800425343
acetone co2 0.759993120747 0.419471255536
acetone dimethyl_ether 1.3401587688 0.52079998474
acetone ethane 1.15299039214 0.423489393326
acetone ethanol 1.18958610983 0.713793555373
acetone ethene 1.14720453595 0.460464720098
acetone h2o 0.924354892282 0.534415731919
acetone methane 0.914718721945 0.334778927063
acetone methanol 1.16023138269 0.785339773212
acetone methyl_amine 1.31686680901 0.75196346612
acetone nh3 1.16273355152 0.660167902441
ar ar 0.0411964181931 0.0125441640381
ar chloromethane 0.494904227389 0.186463054396
ar co2 0.172087650941 0.0634324532116
ar dimethyl_ether 0.683116664658 0.166821716573
ar ethane 0.7539006288 0.144739361262
ar ethanol 0.616629501043 0.181942372135
ar ethene 0.559688925891 0.130792488229
ar h2o 0.406015721144 0.195183871778
ar methane 0.450281556721 0.0635078991706
ar methanol 0.580369189852 0.24261292847
ar methyl_amine 0.721085581216 0.225259796979
ar nh3 0.585190325557 0.182753249965
chloromethane chloromethane 1.18220221396 0.392402480883
chloromethane co2 1.14655617176 0.400809677352
chloromethane dimethyl_ether 1.37417561049 0.51016116892
chloromethane ethane 1.14985425818 0.340034950028
chloromethane ethanol 1.08692073559 0.500291401693
chloromethane ethene 1.19451640933 0.315073500787
chloromethane h2o 1.05262765762 0.541982033309
chloromethane methane 0.816739796741 0.220092279062
chloromethane methanol 1.36161050574 0.589473026985
chloromethane methyl_amine 1.45454283768 0.517495758616
chloromethane nh3 1.12283139405 0.405186814153
co2 co2 0.288684903666 0.144645997659
co2 dimethyl_ether 1.11027656531 0.385151658017
co2 ethane 0.98831781585 0.240562839028
co2 ethanol 0.889083424206 0.376434013945
co2 ethene 0.878331317949 0.226521398377
co2 h2o 0.554872113091 0.384116315357
co2 methane 0.604629752459 0.156642560897
co2 methanol 0.92079136549 0.451446121733
co2 methyl_amine 1.0667680656 0.43336789639
co2 nh3 0.728293034037 0.329217537591
dimethyl_ether dimethyl_ether 1.29450713268 0.578462033823
dimethyl_ether ethane 1.08310536534 0.447002383104
dimethyl_ether ethanol 1.32880705969 0.559084752099
dimethyl_ether ethene 1.14255694138 0.3947165476
dimethyl_ether h2o 1.18177839324 0.539307006516
dimethyl_ether methane 0.990561980635 0.26991605634
dimethyl_ether methanol 1.41492497558 0.699865062028
dimethyl_ether methyl_amine 1.46461797958 0.688660235319
dimethyl_ether nh3 1.26167090743 0.55282813667
ethane ethane 1.13800176787 0.29182570105
ethane ethanol 1.24342634833 0.44456624633
ethane ethene 1.0217837231 0.290980328734
ethane h2o 0.958627104384 0.253810490713
ethane methane 0.927124541032 0.239240206333
ethane methanol 0.996046012014 0.46476367569
ethane methyl_amine 1.0147960032 0.397206371124
ethane nh3 1.06883889964 0.255508927326
ethanol ethanol 1.14070190538 0.638852905696
ethanol ethene 1.20363581431 0.473141745791
ethanol h2o 0.850362419687 0.473708815373
ethanol methane 0.965297719944 0.300036316491
ethanol methanol 1.33299486462 0.781401129405
ethanol methyl_amine 1.44604684281 0.646885779739
ethanol nh3 1.11232980432 0.49869419684
ethene ethene 1.30858568348 0.351496527808
ethene h2o 1.17171778568 0.335502337444
ethene methane 0.928028618933 0.258465986965
ethene methanol 1.39605854277 0.468909032066
ethene methyl_amine 1.28700369666 0.446719205512
ethene nh3 0.924647893566 0.302107916146
h2o h2o 0.494991177849 0.266995765561
h2o methane 0.738163378571 0.238473383736
h2o methanol 1.05772721315 0.636393904074
h2o methyl_amine 1.11298880642 0.559128227683
h2o nh3 0.81759179713 0.469985139834
methane methane 0.761120926184 0.206423776406
methane methanol 1.03551084506 0.380361618216
methane methyl_amine 1.10375771346 0.326145416351
methane nh3 0.782388110181 0.245693962475
methanol methanol 1.22948099857 0.668297674697
methanol methyl_amine 1.48527068287 0.918392878896
methanol nh3 1.19129781241 0.586794600151
methyl_amine methyl_amine 1.20110154831 0.617861542408
methyl_amine nh3 1.31123960703 0.536913411522
nh3 nh3 0.86889603228 0.332235193017

