RMS Errors for  isotropic_fit_exp_total_energy_constrained.dat
acetone acetone 1.13834579046 0.662392632481
acetone ar 0.674520949724 0.25990672867
acetone chloromethane 2.09693689288 0.827728919469
acetone co2 1.25255560259 0.626949618461
acetone dimethyl_ether 1.45944910765 0.610128808683
acetone ethane 1.22266080172 0.491985233588
acetone ethanol 1.39690479285 0.663394209012
acetone ethene 1.64046899771 0.879567237463
acetone h2o 1.75172070507 1.15806591062
acetone methane 0.911996946423 0.332566438677
acetone methanol 1.52362751101 0.784759916617
acetone methyl_amine 1.87647061697 0.991533674064
acetone nh3 1.74300752271 0.71684589739
ar ar 0.0411965695342 0.0125441827001
ar chloromethane 1.24233322812 0.372521746417
ar co2 0.771970175345 0.320187968492
ar dimethyl_ether 0.931790789836 0.215398311905
ar ethane 0.753896989394 0.144744854001
ar ethanol 0.733550265357 0.2287413796
ar ethene 0.939548978717 0.43599427573
ar h2o 1.27572576709 0.710092654112
ar methane 0.45027898884 0.0635064679994
ar methanol 0.864262289635 0.27953125526
ar methyl_amine 1.26779616988 0.428296784034
ar nh3 1.37928307342 0.283729917659
chloromethane chloromethane 2.76256056252 1.06672366381
chloromethane co2 1.85064925342 0.601687311164
chloromethane dimethyl_ether 2.02698327346 0.772455432099
chloromethane ethane 1.59059197694 0.596638290981
chloromethane ethanol 2.12617432168 0.822904913254
chloromethane ethene 1.98957677826 0.76644959549
chloromethane h2o 1.91779969652 1.14466607684
chloromethane methane 1.61706606198 0.546675629571
chloromethane methanol 2.2116527292 0.677189432158
chloromethane methyl_amine 2.59584579068 0.934301714369
chloromethane nh3 2.11151342705 0.798928614185
co2 co2 1.74815000312 0.714586588284
co2 dimethyl_ether 1.47828281779 0.583931452418
co2 ethane 1.25677802494 0.527981869432
co2 ethanol 1.33619450467 0.614447473867
co2 ethene 2.15721928303 0.951011808263
co2 h2o 1.9701485363 1.27450248114
co2 methane 1.09371010421 0.413327690691
co2 methanol 1.56554156652 0.606747548674
co2 methyl_amine 1.95142084484 0.85350093205
co2 nh3 2.21585423972 0.560862115833
dimethyl_ether dimethyl_ether 1.75518132128 0.719558000767
dimethyl_ether ethane 1.3728619707 0.540082962295
dimethyl_ether ethanol 1.51580919034 0.708711429255
dimethyl_ether ethene 1.61325464632 0.808040269738
dimethyl_ether h2o 1.92488036309 1.32991557311
dimethyl_ether methane 1.3263801847 0.335360789081
dimethyl_ether methanol 1.74465775589 0.765618584366
dimethyl_ether methyl_amine 1.97542323354 0.834665685957
dimethyl_ether nh3 1.87986975278 0.716785303785
ethane ethane 1.13801605174 0.291834256355
ethane ethanol 1.35294400587 0.531809891407
ethane ethene 1.46766520744 0.685337898499
ethane h2o 1.43759969341 0.681459423662
ethane methane 0.927113530855 0.239237003533
ethane methanol 1.38938330625 0.516575830392
ethane methyl_amine 1.67209691949 0.753029736702
ethane nh3 1.70817745821 0.409105918577
ethanol ethanol 1.32108026583 0.707463740566
ethanol ethene 1.6199627703 0.988595257759
ethanol h2o 1.62177502175 1.19000674049
ethanol methane 1.10683497349 0.373925784216
ethanol methanol 1.54373955322 0.679684212514
ethanol methyl_amine 1.94051731629 0.819550563732
ethanol nh3 1.69159726607 0.56300853125
ethene ethene 3.21935893024 1.50958510794
ethene h2o 1.76178014431 0.967768920948
ethene methane 1.41031210884 0.608584515133
ethene methanol 1.83787359993 0.901723161791
ethene methyl_amine 2.38556838442 1.23724901676
ethene nh3 2.17194689317 0.798991473514
h2o h2o 2.13643122303 1.27566867715
h2o methane 1.3001310961 0.564317877235
h2o methanol 1.67307656515 1.1012679589
h2o methyl_amine 2.00795022448 1.12578405141
h2o nh3 1.7648040024 0.992674132395
methane methane 0.761114116852 0.206426038762
methane methanol 1.39445262914 0.410938520369
methane methyl_amine 1.83055879651 0.688945392858
methane nh3 1.50091346184 0.344271539445
methanol methanol 1.53457402071 0.823205255026
methanol methyl_amine 1.9141443288 0.948290863565
methanol nh3 1.70446451538 0.642603913744
methyl_amine methyl_amine 2.19935183362 1.04677374043
methyl_amine nh3 2.194063087 0.810502678609
nh3 nh3 2.21427344402 0.64279733115


